title,category,source_file,article_count
中华人民共和国中医药法,,中华人民共和国中医药法_20161225.docx,63
中华人民共和国农业法,,中华人民共和国农业法_20121228.docx,99
中华人民共和国农村土地承包法,,中华人民共和国农村土地承包法_20181229.docx,70
中华人民共和国高等教育法,,中华人民共和国高等教育法_20181229.docx,69
中华人民共和国草原法,,中华人民共和国草原法_20210429.docx,75
中华人民共和国网络安全法,,中华人民共和国网络安全法_20251028.docx,81
中华人民共和国无障碍环境建设法,,中华人民共和国无障碍环境建设法_20230628.docx,72
中华人民共和国监察官法,,中华人民共和国监察官法_20210820.docx,68
中华人民共和国军人地位和权益保障法,,中华人民共和国军人地位和权益保障法_20210610.docx,71
中华人民共和国农产品质量安全法,,中华人民共和国农产品质量安全法_20220902.docx,81
中华人民共和国全国人民代表大会和地方各级人民代表大会代表法,,中华人民共和国全国人民代表大会和地方各级人民代表大会代表法_20250311.docx,65
中华人民共和国行政处罚法,,中华人民共和国行政处罚法_20210122.docx,86
中华人民共和国香港特别行政区驻军法,,中华人民共和国香港特别行政区驻军法_19961230.docx,30
中华人民共和国固体废物污染环境防治法,,中华人民共和国固体废物污染环境防治法_20200429.docx,126
中华人民共和国放射性污染防治法,,中华人民共和国放射性污染防治法_20030628.docx,63
中华人民共和国契税法,,中华人民共和国契税法_20200811.docx,16
中华人民共和国统计法,,中华人民共和国统计法_20240913.docx,53
中华人民共和国民营经济促进法,,中华人民共和国民营经济促进法_20250430.docx,78
中华人民共和国国家发展规划法,,中华人民共和国国家发展规划法_20260312.docx,38
中华人民共和国检察官法,,中华人民共和国检察官法_20190423.docx,70
中华人民共和国合伙企业法,,中华人民共和国合伙企业法_20060827.docx,109
中华人民共和国老年人权益保障法,,中华人民共和国老年人权益保障法_20181229.docx,85
中华人民共和国台湾同胞投资保护法,,中华人民共和国台湾同胞投资保护法_20191228.docx,14
中华人民共和国防沙治沙法,,中华人民共和国防沙治沙法_20181026.docx,47
中华人民共和国社区矫正法,,中华人民共和国社区矫正法_20191228.docx,63
中华人民共和国领事特权与豁免条例,,中华人民共和国领事特权与豁免条例_19901030.docx,29
中华人民共和国人民防空法,,中华人民共和国人民防空法_20090827.docx,53
中华人民共和国对外关系法,,中华人民共和国对外关系法_20230628.docx,45
中华人民共和国军事设施保护法,,中华人民共和国军事设施保护法_20210610.docx,72
中华人民共和国慈善法,,中华人民共和国慈善法_20231229.docx,125
中华人民共和国香港特别行政区基本法,,中华人民共和国香港特别行政区基本法_19900404.docx,161
中华人民共和国档案法,,中华人民共和国档案法_20200620.docx,53
中国人民解放军军官军衔条例,,中国人民解放军军官军衔条例_19940512.docx,35
中华人民共和国黑土地保护法,,中华人民共和国黑土地保护法_20220624.docx,38
中华人民共和国国歌法,,中华人民共和国国歌法_20170901.docx,16
中华人民共和国劳动合同法,,中华人民共和国劳动合同法_20121228.docx,98
中华人民共和国国家安全法,,中华人民共和国国家安全法_20150701.docx,84
中华人民共和国危险化学品安全法,,中华人民共和国危险化学品安全法_20251227.docx,127
中华人民共和国消费者权益保护法,,中华人民共和国消费者权益保护法_20131025.docx,63
中华人民共和国人民武装警察法,,中华人民共和国人民武装警察法_20200620.docx,51
中华人民共和国行政诉讼法,,中华人民共和国行政诉讼法_20170627.docx,103
中华人民共和国劳动争议调解仲裁法,,中华人民共和国劳动争议调解仲裁法_20071229.docx,54
中华人民共和国防洪法,,中华人民共和国防洪法_20160702.docx,65
中华人民共和国疫苗管理法,,中华人民共和国疫苗管理法_20190629.docx,100
中华人民共和国深海海底区域资源勘探开发法,,中华人民共和国深海海底区域资源勘探开发法_20160226.docx,29
中华人民共和国车辆购置税法,,中华人民共和国车辆购置税法_20181229.docx,19
中华人民共和国外国国家豁免法,,中华人民共和国外国国家豁免法_20230901.docx,23
中华人民共和国反恐怖主义法,,中华人民共和国反恐怖主义法_20180427.docx,97
中华人民共和国国旗法,,中华人民共和国国旗法_20201017.docx,24
中华人民共和国枪支管理法,,中华人民共和国枪支管理法_20150424.docx,50
中华人民共和国中国人民银行法,,中华人民共和国中国人民银行法_20031227.docx,53
中华人民共和国电子商务法,,中华人民共和国电子商务法_20180831.docx,89
中华人民共和国预算法,,中华人民共和国预算法_20181229.docx,101
中华人民共和国防震减灾法,,中华人民共和国防震减灾法_20081227.docx,93
中华人民共和国城市房地产管理法,,中华人民共和国城市房地产管理法_20190826.docx,73
中华人民共和国文物保护法,,中华人民共和国文物保护法_20241108.docx,101
中华人民共和国畜牧法,,中华人民共和国畜牧法_20221030.docx,94
